asset_id,attribute_count,attribute_count_rarity_score,DNA_attribute,DNA_rarity_score,Eye_Color_attribute,Eye_Color_rarity_score,Clothing_attribute,Clothing_rarity_score,Jewelry_attribute,Jewelry_rarity_score,Type_attribute,Type_rarity_score,Hair_attribute,Hair_rarity_score,Back_attribute,Back_rarity_score,Mouth_attribute,Mouth_rarity_score,Accessories_attribute,Accessories_rarity_score,Eyewear_attribute,Eyewear_rarity_score,Facial_Feature_attribute,Facial_Feature_rarity_score,Helmet_attribute,Helmet_rarity_score,overall_rarity_score
11,6,0.0,Robot,0.0,,-0.0,V1 WHT SKL GRL,0.0,,-0.0,,-0.0,BLCK Ponytailz,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
12,10,0.0,Robot,0.0,,-0.0,SD Tee,0.0,,-0.0,MK1,0.0,PURP Wrap,0.0,,-0.0,ICED GRILLS,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
13,12,0.0,Robot,0.0,,-0.0,RCS Tee,0.0,SG-PDLCK,0.0,,-0.0,Sound Wave,0.0,,-0.0,Angry,0.0,,-0.0,Cyber Eyes,0.0,,-0.0,,-0.0,0.0
14,16,0.0,Human,0.0,PNK-BLU,0.0,PNK HAWAIIAN Shirt,0.0,,-0.0,MURAKAMI DRIP,0.0,GRN BNGS,0.0,,-0.0,Organism M78.8,0.0,,-0.0,BILLIONAIRE,0.0,STARZ TAT,0.0,,-0.0,0.0
15,10,0.0,Robot,0.0,,-0.0,RCS Tee,0.0,KAWAII CHRM,0.0,MK1,0.0,YU-BLCK,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
16,10,0.0,Human,0.0,PURP,0.0,V4 WHT SKL GRL,0.0,,-0.0,,-0.0,BLCK Stylish,0.0,,-0.0,,-0.0,SLVR Round,0.0,,-0.0,,-0.0,,-0.0,0.0
17,12,0.0,Human,0.0,CLSD PNK-BLU,0.0,LIME GANG,0.0,DRIP CHRM,0.0,,-0.0,RD Hairclip,0.0,,-0.0,,-0.0,SLVR Round,0.0,,-0.0,,-0.0,,-0.0,0.0
18,12,0.0,Demon,0.0,WIDE-OPEN,0.0,V2 BLCK SKL GRL,0.0,SLVR G-Link,0.0,MURAKAMI DRIP,0.0,NVY DRDZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
19,6,0.0,Robot,0.0,,-0.0,YLLW BLW UP JCKT,0.0,,-0.0,,-0.0,BLCK Quiff,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
20,8,0.0,Angel,0.0,,-0.0,RD VARSITY JCKT,0.0,DRIP CHRM,0.0,,-0.0,RD Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
21,12,0.0,Human,0.0,PURP,0.0,WAGMI Tee,0.0,PURP G-Link,0.0,,-0.0,GOAT HRNS,0.0,,-0.0,Romantico,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
22,10,0.0,Angel,0.0,,-0.0,V5 WHT SKL GRL,0.0,SLVR CBLE,0.0,,-0.0,BLND Pigtails,0.0,,-0.0,ROBO,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
23,12,0.0,Human,0.0,PURP,0.0,Blade Melt Tee,0.0,,-0.0,,-0.0,BLND Fro,0.0,,-0.0,ROBO,0.0,,-0.0,Snow Storm,0.0,,-0.0,,-0.0,0.0
24,16,0.0,Human,0.0,YLLW Breezy,0.0,STRIPE Tee,0.0,,-0.0,MURAKAMI DRIP,0.0,BRWN Shaggy,0.0,,-0.0,1Tooth,0.0,,-0.0,Eye Patch,0.0,Scratch Scarz,0.0,,-0.0,0.0
25,14,0.0,Human,0.0,PURP,0.0,Job Tee,0.0,WGLD Iced Cuban,0.0,,-0.0,RD Spike,0.0,,-0.0,Bubblegum,0.0,,-0.0,,-0.0,Slash Scar,0.0,,-0.0,0.0
26,10,0.0,Human,0.0,RD CRYSTL,0.0,BLCK Utility Vest,0.0,S-PDLCK,0.0,,-0.0,BRWN Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
27,12,0.0,Robot,0.0,,-0.0,CLNX Tee,0.0,,-0.0,MK1,0.0,BLCK Curtains,0.0,,-0.0,1Tooth,0.0,,-0.0,RD LAZER,0.0,,-0.0,,-0.0,0.0
28,12,0.0,Robot,0.0,HALF-OPEN,0.0,GM HOODIE,0.0,CYN Two Piece,0.0,MURAKAMI DRIP,0.0,LLC Ponytail,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
29,12,0.0,Human,0.0,PNK-BLU,0.0,BONE PFA JCKT,0.0,CHRM,0.0,,-0.0,BLND Fro,0.0,,-0.0,,-0.0,,-0.0,,-0.0,WEBZ TAT,0.0,,-0.0,0.0
30,14,0.0,Human,0.0,YLLW,0.0,WAGMI Tee,0.0,,-0.0,,-0.0,NEON Cap,0.0,Energy Wings,0.0,,-0.0,,-0.0,VSN Glasses,0.0,Band-Aid,0.0,,-0.0,0.0
31,18,0.0,Human,0.0,PNK,0.0,V3 WHT SKL GRL,0.0,RBY Two Piece,0.0,,-0.0,PNK Beret Braids,0.0,,-0.0,Alien,0.0,GLD Round,0.0,Snow Storm,0.0,STARVSN TAT,0.0,,-0.0,0.0
32,8,0.0,Demon,0.0,,-0.0,FLOOR Tee,0.0,RBY Two Piece,0.0,,-0.0,BLCK Beanie,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
33,6,0.0,Robot,0.0,,-0.0,Job Tee,0.0,,-0.0,,-0.0,BLCK Horn Headband,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
34,8,0.0,Human,0.0,BRWN,0.0,WHT KBA JCKT,0.0,,-0.0,,-0.0,WHT Curtains,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
35,10,0.0,Human,0.0,BLU,0.0,BLU ORNG BNDN Shirt,0.0,,-0.0,,-0.0,BLCK Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,TRi TAT,0.0,,-0.0,0.0
36,16,0.0,Human,0.0,BRWN,0.0,BLU BNDN Shirt,0.0,GLD CBLE,0.0,,-0.0,BLU Curtains,0.0,Energy Wings,0.0,,-0.0,,-0.0,Assault Glasses,0.0,TRi War TAT,0.0,,-0.0,0.0
37,12,0.0,Demon,0.0,WIDE-OPEN,0.0,BLCK BNDN Shirt,0.0,,-0.0,MURAKAMI DRIP,0.0,YU-BLCK,0.0,GRY UNDRWRLD WINGZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
38,12,0.0,Demon,0.0,,-0.0,RTFKT CHROME Tee,0.0,GPURP Two Piece,0.0,,-0.0,Cowboy,0.0,,-0.0,Knife,0.0,,-0.0,Eye Patch,0.0,,-0.0,,-0.0,0.0
39,8,0.0,Demon,0.0,,-0.0,RCS Tee,0.0,,-0.0,,-0.0,BRWN 2 Horns,0.0,,-0.0,,-0.0,,-0.0,Cyber Eyes,0.0,,-0.0,,-0.0,0.0
40,10,0.0,Human,0.0,BLCK Surprised,0.0,BLCK BNDN Shirt,0.0,,-0.0,,-0.0,BLCK Spiked,0.0,,-0.0,,-0.0,,-0.0,Cyborg V1,0.0,,-0.0,,-0.0,0.0
41,8,0.0,Human,0.0,GRN,0.0,GRNDT Fur Coat,0.0,,-0.0,,-0.0,PNK Shape Up,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
42,10,0.0,Robot,0.0,,-0.0,V6 WHT SKL GRL,0.0,DRIP CHRM,0.0,MK1,0.0,GRN DRDZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
43,8,0.0,Demon,0.0,,-0.0,BLCK BNDN Shirt,0.0,,-0.0,DRK,0.0,GRN Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
44,14,0.0,Human,0.0,GRN,0.0,Job Tee,0.0,,-0.0,,-0.0,BLND Curtains,0.0,,-0.0,WZRD,0.0,,-0.0,Cyborg V1,0.0,SMLY TAT,0.0,,-0.0,0.0
45,8,0.0,Human,0.0,CLSD GRN,0.0,Job Tee,0.0,,-0.0,,-0.0,YU-BLU,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
46,14,0.0,Demon,0.0,,-0.0,GM HOODIE,0.0,PURP G-Link,0.0,ICE,0.0,Fro,0.0,Sword Sheath,0.0,Pilot Mask,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
47,12,0.0,Human,0.0,PNK,0.0,BLU BNDN Shirt,0.0,RNBW G-Link,0.0,,-0.0,BLND Quiff,0.0,,-0.0,,-0.0,,-0.0,BTC,0.0,,-0.0,,-0.0,0.0
48,8,0.0,Robot,0.0,,-0.0,Blade Melt Tee,0.0,,-0.0,,-0.0,BLCK Shape Up,0.0,,-0.0,,-0.0,,-0.0,OTT Future Vision,0.0,,-0.0,,-0.0,0.0
49,6,0.0,Robot,0.0,,-0.0,PNK HiTECH Gown,0.0,,-0.0,,-0.0,BLND Flower Wreath,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
50,8,0.0,Robot,0.0,,-0.0,RFX Tee,0.0,RBY CBLE,0.0,,-0.0,WHT Curtains,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
51,12,0.0,Robot,0.0,,-0.0,BLCK GM Tee,0.0,S-PDLCK,0.0,MK1,0.0,NVY DRDZ,0.0,,-0.0,TCTL SMILE,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
52,10,0.0,Human,0.0,BLU-PURP,0.0,BLCK TCTL Vest,0.0,,-0.0,,-0.0,YU-BLU,0.0,,-0.0,,-0.0,,-0.0,,-0.0,BCODE TAT,0.0,,-0.0,0.0
53,10,0.0,Human,0.0,PURP,0.0,BLU BNDN Shirt,0.0,,-0.0,,-0.0,BLCK Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,HRUS 333 TAT,0.0,,-0.0,0.0
54,18,0.0,Human,0.0,YLLW,0.0,THRML PFA JCKT,0.0,PURP Two Piece,0.0,,-0.0,BLND Ponytail,0.0,,-0.0,MAD,0.0,Cross Earring,0.0,Drip Scouter,0.0,STARZ TAT,0.0,,-0.0,0.0
55,6,0.0,Robot,0.0,,-0.0,RFX Tee,0.0,,-0.0,,-0.0,GOAT HRNZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
56,12,0.0,Human,0.0,PURP,0.0,BLCK BKR JCKT,0.0,RBY Two Piece,0.0,,-0.0,RD Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,TRi TAT,0.0,,-0.0,0.0
57,12,0.0,Demon,0.0,,-0.0,SD Tee,0.0,SLVR CBLE,0.0,,-0.0,GRN Cyber Cat,0.0,,-0.0,SPIDERZ,0.0,Gold Round Earrings,0.0,,-0.0,,-0.0,,-0.0,0.0
58,6,0.0,Robot,0.0,,-0.0,MONO Fur Coat,0.0,,-0.0,,-0.0,RD Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
59,10,0.0,Human,0.0,PNK,0.0,RD BBL Vest,0.0,,-0.0,,-0.0,PNK MoHWK,0.0,,-0.0,,-0.0,,-0.0,,-0.0,CLNX TAT,0.0,,-0.0,0.0
60,8,0.0,Human,0.0,PNK,0.0,BLCK Tee,0.0,,-0.0,,-0.0,PURP Curtains,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
61,12,0.0,Human,0.0,PURP,0.0,BLCK Tech JCKT,0.0,,-0.0,STONED,0.0,BLCK BWLCUT,0.0,,-0.0,,-0.0,,-0.0,Snow Storm,0.0,,-0.0,,-0.0,0.0
62,10,0.0,Robot,0.0,,-0.0,WAGMI Tee,0.0,,-0.0,MK1,0.0,TEAL Spiked,0.0,,-0.0,SMILE,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
63,12,0.0,Human,0.0,GRN,0.0,BLCK Waistcoat,0.0,,-0.0,,-0.0,WHT BWLCUT,0.0,,-0.0,,-0.0,,-0.0,DRIP VISION,0.0,SKULL WEBZ TAT,0.0,,-0.0,0.0
64,8,0.0,Demon,0.0,,-0.0,BRWN HiTECH Gown,0.0,,-0.0,ICE,0.0,BLND Hairclip,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
65,8,0.0,Demon,0.0,,-0.0,SPACE TRIP Tee,0.0,,-0.0,,-0.0,GRN Shape Up,0.0,,-0.0,Mustache,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
66,8,0.0,Robot,0.0,,-0.0,WHT PNK Fur Coat,0.0,,-0.0,,-0.0,BLND Curtains,0.0,,-0.0,,-0.0,Cross Earring,0.0,,-0.0,,-0.0,,-0.0,0.0
67,10,0.0,Human,0.0,BLU CRYSTL,0.0,BLCK TCTL Vest,0.0,,-0.0,,-0.0,YU-BLCK,0.0,,-0.0,,-0.0,,-0.0,,-0.0,369 VSN TAT,0.0,,-0.0,0.0
68,10,0.0,Human,0.0,PNK,0.0,WAGMI Tee,0.0,,-0.0,,-0.0,BLCK Spiked,0.0,,-0.0,Bamboo,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
69,10,0.0,Human,0.0,PNK-BLU,0.0,PURP HiTECH Dress,0.0,,-0.0,,-0.0,BLU Head Scarf,0.0,,-0.0,,-0.0,,-0.0,VSN Glasses,0.0,,-0.0,,-0.0,0.0
70,12,0.0,Human,0.0,CLSD BRWN,0.0,BRED KBA JCKT,0.0,,-0.0,,-0.0,BLND Quiff,0.0,,-0.0,Angry,0.0,,-0.0,SPiKED BILLIONAIRE,0.0,,-0.0,,-0.0,0.0
71,10,0.0,Robot,0.0,,-0.0,BLCK GM Tee,0.0,RD ZK-BEADZ,0.0,MURAKAMI DRIP,0.0,Flower Hat,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
72,10,0.0,Angel,0.0,,-0.0,BLCK BKR JCKT,0.0,,-0.0,Divine,0.0,,-0.0,,-0.0,Romantico,0.0,GLD Round,0.0,,-0.0,,-0.0,,-0.0,0.0
73,12,0.0,Human,0.0,BLU-PURP,0.0,CLNX FRSH Shirt,0.0,,-0.0,,-0.0,RD Stylish,0.0,,-0.0,,-0.0,Cross Earring,0.0,,-0.0,STARVSN TAT,0.0,,-0.0,0.0
74,10,0.0,Human,0.0,SPINNING,0.0,BLCK Jellyfish Tee,0.0,,-0.0,MURAKAMI DRIP,0.0,RD Long,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
75,10,0.0,Human,0.0,PURP,0.0,PNK Fur Coat,0.0,,-0.0,,-0.0,GOAT HRNS,0.0,,-0.0,Mustache,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
76,12,0.0,Human,0.0,BRWN,0.0,WHT KBA JCKT,0.0,,-0.0,,-0.0,PNK Curtains,0.0,,-0.0,RNBW GRILLZ,0.0,,-0.0,Aviator,0.0,,-0.0,,-0.0,0.0
77,8,0.0,Angel,0.0,,-0.0,GM MONO HOODIE,0.0,CYN Two Piece,0.0,,-0.0,DAD Cap,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
78,14,0.0,Robot,0.0,AWAKEN,0.0,CLNX Tee,0.0,SLVR G-Link,0.0,MURAKAMI DRIP,0.0,RD Wrap,0.0,,-0.0,,-0.0,PTRA Earring,0.0,,-0.0,,-0.0,,-0.0,0.0
79,8,0.0,Robot,0.0,,-0.0,Blade Melt Tee,0.0,DRIP CHRM,0.0,,-0.0,RD Hairclip,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
80,12,0.0,Human,0.0,PURP,0.0,CLNX Tee,0.0,GLD G-Link,0.0,,-0.0,BRED Buns,0.0,,-0.0,,-0.0,,-0.0,,-0.0,TRi TAT,0.0,,-0.0,0.0
81,12,0.0,Robot,0.0,,-0.0,PNK Utility Vest,0.0,G-PDLCK,0.0,,-0.0,BLU Braid,0.0,,-0.0,SMILE,0.0,,-0.0,BILLIONAIRE,0.0,,-0.0,,-0.0,0.0
82,12,0.0,Demon,0.0,,-0.0,BLCK Waistcoat,0.0,CYN CBLE,0.0,ICE,0.0,,-0.0,,-0.0,Bamboo,0.0,,-0.0,Cyber Bindi,0.0,,-0.0,,-0.0,0.0
83,18,0.0,Human,0.0,GRN,0.0,RTFKT CHROME Tee,0.0,SLVR G-Link,0.0,MURAKAMI DRIP,0.0,BLND Curtains,0.0,,-0.0,PSYCHIC LAZER,0.0,,-0.0,VSN Glasses,0.0,BIRTHMRK,0.0,,-0.0,0.0
84,10,0.0,Human,0.0,PURP,0.0,GM HOODIE,0.0,,-0.0,,-0.0,BLCK Curtains,0.0,,-0.0,,-0.0,,-0.0,Cyber Eye Patch,0.0,,-0.0,,-0.0,0.0
85,8,0.0,Angel,0.0,,-0.0,LAVA METAJACKET,0.0,,-0.0,Divine,0.0,,-0.0,,-0.0,Angry,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
86,14,0.0,Human,0.0,PURP,0.0,SPACE TRIP Tee,0.0,,-0.0,,-0.0,TECH Cap,0.0,,-0.0,Angry,0.0,,-0.0,Cyber Eye Patch,0.0,HRUS TAT,0.0,,-0.0,0.0
87,12,0.0,Human,0.0,AWAKEN,0.0,BLCK Jellyfish Tee,0.0,SG-PDLCK,0.0,MURAKAMI DRIP,0.0,YU-BLU,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
88,6,0.0,Undead,0.0,,-0.0,BLU Tech JCKT,0.0,,-0.0,,-0.0,PURP Wrap,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
89,6,0.0,Robot,0.0,,-0.0,Future Dress,0.0,,-0.0,,-0.0,BLCK Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
90,6,0.0,Robot,0.0,,-0.0,WAGMI Tee,0.0,CHRM,0.0,MK1,0.0,WHT Curtains,0.0,,-0.0,,-0.0,,-0.0,BILLIONAIRE,0.0,,-0.0,,-0.0,0.0
91,6,0.0,Angel,0.0,,-0.0,Blade Melt Tee,0.0,CYN CBLE,0.0,Divine,0.0,BRWN Ponytail,0.0,,-0.0,,-0.0,GLD Round,0.0,,-0.0,,-0.0,,-0.0,0.0
92,4,0.0,Robot,0.0,,-0.0,BLCK GM Tee,0.0,,-0.0,,-0.0,,-0.0,Sword Sheath,0.0,ROBO,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
93,5,0.0,Human,0.0,YLLW,0.0,Blade Melt Tee,0.0,,-0.0,,-0.0,WHT Otaku,0.0,,-0.0,Pilot Mask,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
94,4,0.0,Robot,0.0,,-0.0,CLNX FRSH Shirt,0.0,S-PDLCK,0.0,,-0.0,BLND Flower Wreath,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
95,7,0.0,Human,0.0,PNK-BLU,0.0,Blade Melt Tee,0.0,CHRM,0.0,,-0.0,BLCK Horn Headband,0.0,,-0.0,ROBO,0.0,,-0.0,,-0.0,369 TAT,0.0,,-0.0,0.0
96,8,0.0,Human,0.0,GRN,0.0,PNK Fur Coat,0.0,,-0.0,MURAKAMI DRIP,0.0,LoneSome Cowboy,0.0,,-0.0,Tan Tan Bo,0.0,,-0.0,Cyber Bindi,0.0,SWRD TAT,0.0,,-0.0,0.0
97,5,0.0,Robot,0.0,,-0.0,CLNX Tee,0.0,SG-PDLCK,0.0,,-0.0,BRWN 1 Horn,0.0,,-0.0,,-0.0,,-0.0,Eye Patch,0.0,,-0.0,,-0.0,0.0
98,4,0.0,Robot,0.0,,-0.0,BLCK-BLK Waistcoat,0.0,RNBW CBLE,0.0,,-0.0,GRN Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
99,3,0.0,Robot,0.0,,-0.0,BRED KBA JCKT,0.0,,-0.0,,-0.0,BLCK BRDZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
100,6,0.0,Human,0.0,BLU-PURP,0.0,V2 WHT SKL GRL,0.0,KAWAII CHRM,0.0,,-0.0,TEAL Spiked,0.0,,-0.0,,-0.0,,-0.0,Cyber Bindi,0.0,,-0.0,,-0.0,0.0
101,8,0.0,Human,0.0,CLSD BLU,0.0,GRN TCTL Vest,0.0,,-0.0,,-0.0,WHT Ponytail,0.0,,-0.0,RNBW GRILLS,0.0,Gold Round Earrings,0.0,SPiKED BILLIONAIRE,0.0,Angry TAT,0.0,,-0.0,0.0
102,5,0.0,Robot,0.0,,-0.0,V4 WHT SKL GRL,0.0,SLVR CBLE,0.0,,-0.0,BLCK Stylish,0.0,,-0.0,,-0.0,RTFKT Earrings,0.0,,-0.0,,-0.0,,-0.0,0.0
103,6,0.0,Human,0.0,BLU-PURP,0.0,GRN HAWAIIAN Shirt,0.0,,-0.0,,-0.0,RD Pigtails,0.0,,-0.0,RNBW GRILLS,0.0,,-0.0,Eye Patch,0.0,,-0.0,,-0.0,0.0
104,6,0.0,Demon,0.0,,-0.0,BLU HAWAIIAN Shirt,0.0,S-HIRE G-Link,0.0,ICE,0.0,BLCK Samurai,0.0,,-0.0,TCTL SMILE,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
105,5,0.0,Human,0.0,CLSD PNK,0.0,BLCK PIN BKR JCKT,0.0,GLD Two Piece,0.0,,-0.0,BRWN Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
106,5,0.0,Angel,0.0,,-0.0,RD VARSITY JCKT,0.0,,-0.0,,-0.0,BLCK BWLCUT,0.0,,-0.0,RNBW GRILLZ,0.0,,-0.0,Assault Glasses,0.0,,-0.0,,-0.0,0.0
107,5,0.0,Robot,0.0,,-0.0,BLCK BNDN Shirt,0.0,,-0.0,,-0.0,BLND Curtains,0.0,,-0.0,RNBW GRILLZ,0.0,,-0.0,Assault Glasses,0.0,,-0.0,,-0.0,0.0
108,8,0.0,Human,0.0,YLLW,0.0,WAGMI Tee,0.0,DRIP CHRM,0.0,,-0.0,BLND Quiff,0.0,,-0.0,GLD GRILLZ,0.0,Cross Earring,0.0,,-0.0,EKO TAT,0.0,,-0.0,0.0
109,4,0.0,Robot,0.0,,-0.0,BLU BNDN Shirt,0.0,SG-PDLCK,0.0,,-0.0,BRAINZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
110,6,0.0,Human,0.0,PNK,0.0,PURP CAMO PFA JCKT,0.0,,-0.0,,-0.0,PNK Shape Up,0.0,,-0.0,ROBO,0.0,,-0.0,Glass X,0.0,,-0.0,,-0.0,0.0
111,5,0.0,Demon,0.0,,-0.0,PNK Fur Coat,0.0,,-0.0,ICE,0.0,PNK Curtains,0.0,,-0.0,Bamboo,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
112,5,0.0,Human,0.0,RD CRYSTL,0.0,LLC HiTECH Dress,0.0,,-0.0,,-0.0,GRN Hacker,0.0,Energy Wings,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
113,5,0.0,Human,0.0,BLCK Surprised,0.0,BLCK TCTL Vest,0.0,,-0.0,,-0.0,BLND Stylish,0.0,Robotic Arms,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
114,6,0.0,Human,0.0,YLLW,0.0,PURP KBA JCKT,0.0,RBY Two Piece,0.0,,-0.0,RD Stylish,0.0,,-0.0,,-0.0,,-0.0,,-0.0,333 VSN TAT,0.0,,-0.0,0.0
115,5,0.0,Robot,0.0,,-0.0,Job Tee,0.0,S-HIRE G-Link,0.0,,-0.0,DAD Cap,0.0,Energy Wings,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
116,6,0.0,Human,0.0,PURP,0.0,GRNDT Fur Coat,0.0,SG-PDLCK,0.0,,-0.0,PURP Shape Up,0.0,,-0.0,SPIDERZ,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
